n_hidden_units,step,epoch,batch_size,embedding_size,keep_prob,random_embedding,multi_granined,multi_granined_out,initial_learning_rate,final_learning_rate,AUC
200,501,,16,100,0.5,True,True,False,0.001,1e-05,0.749128636225
200,1001,,16,100,0.5,True,True,False,0.001,1e-05,0.770655568619
200,1501,,16,100,0.5,True,True,False,0.001,1e-05,0.77652286432
200,2001,,16,100,0.5,True,True,False,0.001,1e-05,0.782145763085
200,2501,,16,100,0.5,True,True,False,0.001,1e-05,0.781779482729
200,3001,,16,100,0.5,True,True,False,0.001,1e-05,0.781471563536
200,3501,,16,100,0.5,True,True,False,0.001,1e-05,0.780597764411
200,4001,,16,100,0.5,True,True,False,0.001,1e-05,0.783966639931
200,4501,,16,100,0.5,True,True,False,0.001,1e-05,0.784432337059
200,5001,,16,100,0.5,True,True,False,0.001,1e-05,0.784700261079
200,5501,,16,100,0.5,True,True,False,0.001,1e-05,0.784818017219
200,6001,,16,100,0.5,True,True,False,0.001,1e-05,0.784953293695
200,6501,,16,100,0.5,True,True,False,0.001,1e-05,0.78500263101
200,7001,,16,100,0.5,True,True,False,0.001,1e-05,0.785257734579
200,7501,,16,100,0.5,True,True,False,0.001,1e-05,0.785117421386
200,8001,,16,100,0.5,True,True,False,0.001,1e-05,0.785014314904
200,8501,,16,100,0.5,True,True,False,0.001,1e-05,0.785170902939
200,9001,,16,100,0.5,True,True,False,0.001,1e-05,0.785106408515
200,9501,,16,100,0.5,True,True,False,0.001,1e-05,0.785158128615
200,10001,,16,100,0.5,True,True,False,0.001,1e-05,0.78498315754
200,501,,16,200,0.5,True,True,False,0.001,1e-05,0.759802073934
200,1001,,16,200,0.5,True,True,False,0.001,1e-05,0.765353190399
200,1501,,16,200,0.5,True,True,False,0.001,1e-05,0.776348101457
200,2001,,16,200,0.5,True,True,False,0.001,1e-05,0.781543791763
200,2501,,16,200,0.5,True,True,False,0.001,1e-05,0.78300462639
200,3001,,16,200,0.5,True,True,False,0.001,1e-05,0.783394777416
200,3501,,16,200,0.5,True,True,False,0.001,1e-05,0.784059737607
200,4001,,16,200,0.5,True,True,False,0.001,1e-05,0.783967578341
200,4501,,16,200,0.5,True,True,False,0.001,1e-05,0.783902442919
200,5001,,16,200,0.5,True,True,False,0.001,1e-05,0.785001303143
200,5501,,16,200,0.5,True,True,False,0.001,1e-05,0.784937772917
200,6001,,16,200,0.5,True,True,False,0.001,1e-05,0.785026311294
200,6501,,16,200,0.5,True,True,False,0.001,1e-05,0.785003539668
200,7001,,16,200,0.5,True,True,False,0.001,1e-05,0.78500409176
200,7501,,16,200,0.5,True,True,False,0.001,1e-05,0.784996915412
200,8001,,16,200,0.5,True,True,False,0.001,1e-05,0.785075862126
200,8501,,16,200,0.5,True,True,False,0.001,1e-05,0.785058907211
200,9001,,16,200,0.5,True,True,False,0.001,1e-05,0.785014230728
