n_hidden_units,step,epoch,batch_size,embedding_size,keep_prob,random_embedding,multi_granined,multi_granined_out,multi_granined_outmode,initial_learning_rate,final_learning_rate,AUC
200,2501,,16,200,0.5,False,True,True,mean,0.001,1e-05,0.752642209169
200,3001,,16,200,0.5,False,True,True,mean,0.001,1e-05,0.755438792138
200,3501,,16,200,0.5,False,True,True,mean,0.001,1e-05,0.757364093053
200,4001,,16,200,0.5,False,True,True,mean,0.001,1e-05,0.758621581065
200,4501,,16,200,0.5,False,True,True,mean,0.001,1e-05,0.760631698293
200,5001,,16,200,0.5,False,True,True,mean,0.001,1e-05,0.762043620426
200,5501,,16,200,0.5,False,True,True,mean,0.001,1e-05,0.762178676553
200,6001,,16,200,0.5,False,True,True,mean,0.001,1e-05,0.761821714528
200,6501,,16,200,0.5,False,True,True,mean,0.001,1e-05,0.761787634543
200,7001,,16,200,0.5,False,True,True,mean,0.001,1e-05,0.762123128014
200,7501,,16,200,0.5,False,True,True,mean,0.001,1e-05,0.762632107383
200,8001,,16,200,0.5,False,True,True,mean,0.001,1e-05,0.763251372595
200,8501,,16,200,0.5,False,True,True,mean,0.001,1e-05,0.763708673553
200,9001,,16,200,0.5,False,True,True,mean,0.001,1e-05,0.764022266609
200,9501,,16,200,0.5,False,True,True,mean,0.001,1e-05,0.764191778218
200,10001,,16,200,0.5,False,True,True,mean,0.001,1e-05,0.764388085849
200,10501,,16,200,0.5,False,True,True,mean,0.001,1e-05,0.76438403523
200,11001,,16,200,0.5,False,True,True,mean,0.001,1e-05,0.764439984871
200,11501,,16,200,0.5,False,True,True,mean,0.001,1e-05,0.764157291295
200,12001,,16,200,0.5,False,True,True,mean,0.001,1e-05,0.76354300097
200,12501,,16,200,0.5,False,True,True,mean,0.001,1e-05,0.762979670509
200,13001,,16,200,0.5,False,True,True,mean,0.001,1e-05,0.762839314688
200,13501,,16,200,0.5,False,True,True,mean,0.001,1e-05,0.762837684777
200,14001,,16,200,0.5,False,True,True,mean,0.001,1e-05,0.763213471418
200,14501,,16,200,0.5,False,True,True,mean,0.001,1e-05,0.763762519633
200,15001,,16,200,0.5,False,True,True,mean,0.001,1e-05,0.764141658666
200,15501,,16,200,0.5,False,True,True,mean,0.001,1e-05,0.764388137413
200,16001,,16,200,0.5,False,True,True,mean,0.001,1e-05,0.764592057525
200,16501,,16,200,0.5,False,True,True,mean,0.001,1e-05,0.764872936372
200,17001,,16,200,0.5,False,True,True,mean,0.001,1e-05,0.764795453926
200,17501,,16,200,0.5,False,True,True,mean,0.001,1e-05,0.764844040265
200,18001,,16,200,0.5,False,True,True,mean,0.001,1e-05,0.764621078674
200,18501,,16,200,0.5,False,True,True,mean,0.001,1e-05,0.764269766435
200,19001,,16,200,0.5,False,True,True,mean,0.001,1e-05,0.763572444153
200,19501,,16,200,0.5,False,True,True,mean,0.001,1e-05,0.763392198129
200,20001,,16,200,0.5,False,True,True,mean,0.001,1e-05,0.763324687251
